text,label,sentiment
so there is no way for me to plug it in here in the us unless i go by a converter.,0,negative
"good case, excellent value.",1,positive
great for the jawbone.,1,positive
tied to charger for conversations lasting more than 45 minutes.major problems!!,0,negative
the mic is great.,1,positive
i have to jiggle the plug to get it to line up right to get decent volume.,0,negative
"if you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,negative
if you are razr owner...you must have this!,1,positive
"needless to say, i wasted my money.",0,negative
what a waste of money and time!.,0,negative
and the sound quality is great.,1,positive
he was very impressed when going from the original battery to the extended battery.,1,positive
if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,0,negative
very good quality though,1,positive
"the design is very odd, as the ear ""clip"" is not very comfortable at all.",0,negative
highly recommend for any one who has a blue tooth phone.,1,positive
i advise everyone do not be fooled!,0,negative
so far so good!.,1,positive
works great!.,1,positive
it clicks into place in a way that makes you wonder how long that mechanism would last.,0,negative
"i went on motorola's website and followed all directions, but could not get it to pair again.",0,negative
i bought this to use with my kindle fire and absolutely loved it!,1,positive
the commercials are the most misleading.,0,negative
i have yet to run this new battery below two bars and that's three days without charging.,1,positive
i bought it for my mother and she had a problem with the battery.,0,negative
great pocket pc / phone combination.,1,positive
i've owned this phone for 7 months now and can say that it's the best mobile phone i've had.,1,positive
i didn't think that the instructions provided were helpful to me.,0,negative
people couldnt hear me talk and i had to pull out the earphone and talk on the phone.,0,negative
doesn't hold charge.,0,negative
"this is a simple little phone to use, but the breakage is unacceptible.",0,negative
this product is ideal for people like me whose ears are very sensitive.,1,positive
it is unusable in a moving car at freeway speed.,0,negative
i have two more years left in this contract and i hate this phone.,0,negative
car charger as well as ac charger are included to make sure you never run out of juice.highy recommended,1,positive
you need at least 3 mins to get to your phone book from the time you first turn on the phone.battery life is short.,0,negative
it has kept up very well.,1,positive
poor talk time performance.,0,negative
the case is great and works fine with the 680.,1,positive
worthless product.,0,negative
"it has a great camera thats 2mp, and the pics are nice and clear with great picture quality.",1,positive
i was not impressed by this product.,0,negative
nice headset priced right.,1,positive
i only hear garbage for audio.,0,negative
excellent bluetooth headset.,1,positive
it has all the features i want,1,positive
who in their right mind is gonna buy this battery?.,0,negative
after arguing with verizon regarding the dropped calls we returned the phones after two days.,0,negative
this case seems well made.,1,positive
disappointed with battery.,0,negative
not loud enough and doesn't turn on like it should.,0,negative
good protection and does not make phone too bulky.,1,positive
a usable keyboard actually turns a pda into a real-world useful machine instead of just a neat gadget.,1,positive
this phone is pretty sturdy and i've never had any large problems with it.,1,positive
i love this thing!,1,positive
everything about it is fine and reasonable for the price i.e.,1,positive
very disappointed.,0,negative
i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,positive
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end.,1,positive
the buttons for on and off are bad.,0,negative
essentially you can forget microsoft's tech support.,0,negative
